Customer Name,Gender,Quantity,Price,City,State,Phone,Email,Zincode,Product,Category,Dealer,Discount,Coupon Code,Date of Order,Date of Delivery,Order ID,Product ID,Order Status,Payment Method,Shipping Fee,Customer Feedback,Returns,Refund Amount,Loyalty Points
Gwendolyn Hamilton,Female,5,49.95,New Christopherport,Louisiana,,,,official,,Moore Group,,,2022-03-28,2024-08-30,e2c9cfe9-0a11-45b2-92a6-12fde7b3c6a7,8825592377482,Cancelled,PayPal,free,,,10.0,200
Joshua Hunt,F,2,49.95,North Angela,Minnesota,,not-an-email,,standard,Food,"Griffin, Butler and White",10,SAVE10,2022-12-25,2024-06-13,5d4101b2-4bb8-4153-9951-009be00b4344,5598385137404,Delivered,PayPal,0,,,-1,100
Brian Mccann,M,1,,East Jennifer,Delaware,123-abc-7890,,95356,model,Electronics,Brown and Sons,,12345,2023-03-18,2023-05-29,49e76c0e-9a89-4801-be9f-c2c323c336d4,4352802591337,Pending,Credit Card,,Bad,0,-1,100
Austin Figueroa,,,-10,Shellyberg,Arizona,946-000-6571x39147,,,away,,Moss-Chapman,10,SAVE10,2023-02-13,2023-10-29,ec84a796-e060-4775-982a-41c684de7772,2381001462638,Delivered,PayPal,0,Average,0,10.0,200
Hayley Evans,F,5,0,Cookechester,Alabama,,peter50@yahoo.com,ABCDE,alone,Clothing,"Mathis, Ferguson and Brown",10,,2023-06-30,2024-03-02,364a0ba8-4bb5-429b-9ca1-96a8de9d99be,6541136345893,,Bank Transfer,0,Bad,0,-1,200
Brandy Edwards,F,1000,-10,Lake Sallyland,Indiana,123-abc-7890,stevenwalton@yahoo.com,,movement,Other,Moore-Gonzales,,,2022-06-06,2024-05-30,8015a1be-06b9-4e29-81a1-4425b3070e2f,8226249533457,Delivered,,0,Bad,0,,
Allen Saunders,Male,,,Christinafort,Nevada,001-903-855-5185x9582,,ABCDE,season,Electronics,Gonzales and Sons,5,,2022-11-08,2024-12-05,1151b251-2ee0-433b-bf30-32abdc616e5d,8467556403921,Pending,PayPal,5.99,,1,-1,100
Ashley Cole,Female,1,19.99,Garystad,California,9904059495,not-an-email,,school,Other,Perez Inc,5,,2023-12-18,2023-11-08,bde70854-69b9-4364-a2b7-b5e31c1fec0a,6153749918854,,,5.99,Bad,yes,5.0,
Robert Shaw,Women,,20$,Huffmanside,Nevada,,not-an-email,ABCDE,factor,,Pennington LLC,,SAVE10,2022-10-24,2023-07-26,957888c4-7696-4903-9e54-8acf6fc0fd0f,7697072654946,,,0,Bad,,,
Michael Wong,Women,3,0,West Pamelaborough,Arkansas,,,,her,,"Jordan, Kim and Cunningham",,,2022-03-30,2024-08-10,318c9972-c1dd-4cf0-8547-b1f2c6a502af,8322415593062,,Credit Card,5.99,,yes,-1,200
Brandi Kirby,,,,South Saraburgh,Nebraska,123-abc-7890,,,author,Food,"Marshall, Farley and Ingram",10,,2023-11-01,2023-01-06,3da3a302-3c1e-49d2-a95f-9219666a2d5c,2475044335667,Delivered,PayPal,10.0,,0,,100
Ashley Hernandez,,three,20$,West Lindsay,Idaho,239.994.6387,anthonyderek@gmail.com,ABCDE,foot,,"David, Miller and Hester",five,12345,2022-05-10,2022-01-22,307249a9-1c6a-45c6-a95a-06a5248f52af,2511450625111,,PayPal,free,,,,100
Crystal Patterson,Men,3,-10,New Cynthiahaven,Ohio,242-410-5925,peter33@yahoo.com,ABCDE,home,,Patton PLC,10,,2023-01-03,2022-07-25,d4d56ccf-f2c8-4f75-ba40-977b458fd539,0284218634275,Delivered,Credit Card,0,,,5.0,
John Frost,Female,1,19.99,Port Bradyton,Florida,,not-an-email,76899,what,Other,"Vega, Gonzales and Fletcher",10,SAVE10,2023-04-06,2024-08-03,14a8eb47-f6a3-455f-84d7-4592ee8d7046,0355387201589,Delivered,PayPal,5.99,Average,,5.0,100
Candace Myers,Female,-5,19.99,South Jamesfurt,New York,,,18377,modern,,Brown-Love,,,2023-09-08,2024-03-28,80f07c91-47cb-4e86-a131-658d6ba1b8a0,0309033920157,Delivered,,10.0,Good,0,5.0,two hundred
Jessica Cook,F,2,-10,Durhamshire,Texas,(590)977-1735x0458,,ABCDE,by,Clothing,Hoover and Sons,10%,DISCOUNT,2023-10-20,2024-12-01,f5ae3843-dbe1-4ab0-88ed-e71266f8554e,9637496875907,,PayPal,,,,10.0,200
Pamela Young,,5,20$,East Derekchester,New Mexico,(624)301-8876x05022,,ABCDE,fight,Other,"Wilkerson, Lee and Mathews",10,12345,2023-10-03,2023-06-30,a4dfe12c-729b-4bd6-8949-f70271477a51,2237237033206,Cancelled,Bank Transfer,10.0,Bad,no,5.0,two hundred
Christopher Torres,,10,20$,Whitakerton,North Dakota,,not-an-email,,generation,,Smith LLC,,DISCOUNT,2023-07-30,2022-12-07,b11889b0-aea8-45cd-b954-869a7ceb0ead,0227249714479,,,0,,no,,two hundred
John Miranda,Female,,20$,Durhamfurt,Connecticut,123-abc-7890,javery@yahoo.com,26469,read,,Harrison and Sons,,DISCOUNT,2022-07-15,2022-03-26,b8a3f421-d40c-417c-8aec-d1b63dcad1e8,8842609256783,Delivered,Bank Transfer,0,,,10.0,
Christina Fischer,M,,,West Rebecca,Minnesota,,carrie21@yahoo.com,98166,just,Food,"Carter, Garcia and Wagner",10,,2022-12-18,2024-04-18,85285c30-8d80-4537-80b0-5c26da97a84f,9977977999884,,PayPal,,Bad,,5.0,
Heather Davis,Male,1,,Melissaborough,West Virginia,(828)158-4856,wwalker@gmail.com,,suddenly,Clothing,Gray-Whitehead,10%,DISCOUNT,2022-10-08,2024-03-15,e40d3762-b35c-430c-b976-3a23f262b114,8194395569111,Pending,PayPal,free,Bad,,,100
Jordan Small,Men,1000,,Christophermouth,California,,not-an-email,,attorney,,"Fox, Martin and Riley",five,12345,2023-12-21,2024-08-28,0ea4dbda-324a-40ee-9a9f-ad14299e29b5,5312658875967,,,,Average,yes,,
Kendra Peterson,Men,,0,Woodsbury,South Carolina,,,99791,religious,,Walter-Matthews,5,DISCOUNT,2022-07-22,2022-06-15,a783120e-f775-41cd-888a-11c6f5bbaa2c,0876710175389,Pending,PayPal,,Average,yes,0.0,
Karen Dixon,M,,100000,Stouthaven,Kansas,,not-an-email,,garden,Electronics,Lopez and Sons,10,SAVE10,2022-05-06,2023-01-28,9533b7d6-edb8-491f-a1b3-e9351acf1bea,2954265190489,Delivered,Bank Transfer,0,Average,0,0.0,100
Amber Williams,,4,,Sonyaville,Mississippi,,,,yet,,Hester-Nunez,,12345,2023-01-14,2022-06-24,a9a2c74e-7c67-4349-ab54-7849e72d4498,5883656823491,,Bank Transfer,free,,yes,-1,two hundred
Kimberly Li,M,,0,North Jamesshire,Nebraska,123-abc-7890,,ABCDE,left,Electronics,Klein-Montoya,five,,2023-08-13,2022-03-31,1f0bf160-0b13-462d-8780-6534f39523d6,2343326638761,Pending,Bank Transfer,,Good,,5.0,two hundred
April Sutton,Female,3,,Anthonyshire,Maryland,903.395.0154x41045,not-an-email,,fill,Clothing,Andrews-Pittman,,12345,2023-08-29,2022-05-04,1c44fa58-2d7c-48bf-b023-ff926e848ad6,9373021223477,,,5.99,Average,1,5.0,
Katelyn Garner,Women,three,0,Shelleystad,Alabama,001-562-621-8731x79484,not-an-email,,receive,,"Adams, Salazar and Sosa",five,12345,2022-01-14,2024-11-17,9cfaa0a7-6704-4ad9-a73a-1d9daee78efc,6518502304235,Pending,PayPal,free,Good,0,5.0,
Heather Decker,,1,20$,Port Morganland,Kentucky,123-abc-7890,,ABCDE,candidate,Electronics,Obrien Group,10,,2022-09-28,2022-02-09,e0f4e111-c721-496a-9dc5-fa7edae8a2d3,9135384216646,,Credit Card,0,,,10.0,two hundred
Daniel Walton,Female,1,20$,Fowlerberg,Missouri,+1-928-801-9191x7675,,56466,operation,Other,Obrien-Estes,5,DISCOUNT,2023-01-31,2022-08-15,f9ef10ea-8c9c-47f4-838d-e2b79491097a,4321793365654,Cancelled,Bank Transfer,0,Average,,,
Anthony Russell,,1000,0,Stacystad,New York,123-abc-7890,angelabrown@yahoo.com,,country,Electronics,"Hogan, Davis and Murphy",,DISCOUNT,2023-11-29,2022-05-21,28fb1ce0-3f9d-40ac-95ac-0509671e78a7,1071875784219,,PayPal,,Average,,10.0,200
Mark Campbell,F,4,49.95,New Preston,Minnesota,,,,voice,Electronics,"Chen, Pope and Parker",10,DISCOUNT,2023-08-31,2022-12-13,21c60b22-a214-476c-b2de-fdba728300d9,8381804117692,Cancelled,PayPal,10.0,,yes,,two hundred
Shaun Rogers,Male,3,100000,Port Rachaelport,Rhode Island,,michaelrivas@alexander-lee.com,ABCDE,matter,Clothing,Murray Inc,10%,,2022-07-27,2023-01-16,ac7c75ec-dc9b-428e-b4c2-4cf48497a580,6087529098583,Cancelled,,10.0,,,-1,two hundred
Ryan Moore,M,2,,West Aprilton,Louisiana,,,77843,or,,Andrade LLC,five,DISCOUNT,2023-10-07,2024-07-02,ac455983-0cb5-464c-a384-1ba9394ccd2e,2385155349883,Pending,PayPal,0,Bad,,5.0,
Garrett Mills,Men,1000,100000,Howardland,Alabama,104-216-0644x15641,,77671,hair,Electronics,Neal-Roman,5,,2023-03-05,2024-08-14,8fba984a-8b89-49de-9377-6df770bba2ad,7378707929508,,Credit Card,10.0,Bad,yes,,100
William King,Women,three,0,Kerrport,Ohio,,jonesangela@yahoo.com,,management,Electronics,Ross-Williams,10%,DISCOUNT,2022-11-30,2024-12-13,65c46406-3597-444b-aa70-36e913edd06e,0848186611838,Pending,Credit Card,,,no,,200
Lawrence Larson,Female,,20$,South Vanessa,South Carolina,123-abc-7890,johnsonwalter@greer.com,ABCDE,nice,Electronics,"Olson, Stewart and Hernandez",five,DISCOUNT,2023-04-14,2022-10-07,cb6d1deb-1268-4cfd-b6af-b2e437fb7433,5161867380775,Pending,Credit Card,5.99,Good,yes,10.0,
James Pollard,F,1000,,Klineberg,New York,,,27146,since,Electronics,"Garcia, Martin and Thompson",five,SAVE10,2022-10-22,2023-01-19,1022df78-a6cc-4124-be5f-1cf9b0b0fc46,3676990812229,,,,Bad,yes,5.0,100
Kathleen Gonzalez,,4,100000,Patrickport,Alaska,2032670042,,ABCDE,education,Other,Martinez Inc,10,DISCOUNT,2022-03-18,2024-07-21,d0eea2e8-8309-478e-956a-c8ac9966f5e7,3428955119603,,,free,,0,,
Amy Moore,Women,3,100000,Whitneyberg,Pennsylvania,123-abc-7890,,,black,Electronics,"Evans, Ramirez and Li",,DISCOUNT,2023-10-14,2024-04-03,0c8ad4ac-b36d-401d-b9a2-8b018ac94732,7950443131232,,,,,no,0.0,200
Samantha Jacobson,,1,0,Ashleyburgh,Rhode Island,,,ABCDE,national,Food,"Johnson, Price and Lewis",5,12345,2022-12-14,2023-03-30,73690b0c-3bca-4839-bd58-2f81f92f73c0,0437587426044,Pending,,10.0,,,-1,100
Kevin Hunt,Female,three,-10,Tiffanyton,Connecticut,(664)863-9737,not-an-email,,leave,Electronics,"Mccoy, Coleman and Fisher",five,,2022-04-01,2023-06-30,89395a56-0eb4-419a-a570-773780a7052b,2518264719104,Pending,Bank Transfer,free,,yes,,two hundred
Jeremy Johnson,Women,1,0,Allenbury,Texas,,not-an-email,12244,radio,Food,Hanson-Kelley,10%,12345,2022-03-01,2024-04-25,74fe38d3-75d9-468b-90cc-6c3dd400a0dc,8074540604419,Delivered,Credit Card,10.0,Average,,10.0,
Anthony Zimmerman,Female,,0,Jodiland,Oklahoma,,,,form,,Hill-Scott,10,,2023-11-24,2024-05-26,c7afddab-a26b-4f4a-8bcb-668b52ba888b,2631930692713,Pending,Bank Transfer,0,Bad,,0.0,200
Jesse Middleton,Female,three,49.95,North Edward,South Carolina,686.904.9702x6534,smoran@dalton.net,19130,store,Other,Phillips-Morton,five,12345,2022-04-08,2022-07-10,84987114-a460-4c49-9e5c-d59d3b576c5a,8302585347436,Pending,Bank Transfer,free,Average,1,,100
Vincent Wood,F,1,20$,North Jesus,Mississippi,,crystal52@campbell.org,,become,,Reed-Caldwell,10,,2022-04-12,2022-02-08,a6bbb28a-ba5e-4bc1-a654-52ee4acfc27b,0326849493040,,Credit Card,,Good,no,-1,200
Abigail Mendez,Female,,0,Nguyenberg,Texas,,not-an-email,ABCDE,memory,,"Elliott, Dillon and Johnson",,DISCOUNT,2023-09-05,2023-11-13,a6a1cfff-1828-440f-a45b-74e7775890a2,9807678055094,Pending,,10.0,Average,yes,0.0,200
Stephen Gibbs,Female,1000,-10,West Annachester,North Dakota,,mahoneyelizabeth@young-calderon.info,,try,,"Osborn, Sims and Lawrence",five,DISCOUNT,2022-05-30,2022-09-01,2b75e4f6-ccae-4406-ba67-8157ceb713e7,5910913031594,Delivered,Bank Transfer,5.99,,yes,5.0,two hundred
Carl Robinson,Women,,,Matthewborough,Tennessee,,bmartin@yahoo.com,,line,Other,Hines-Ward,,,2023-07-22,2022-08-03,bb08abd1-d0f7-4aac-acfe-cdf016983125,6836562450175,,Bank Transfer,free,,1,,
Kelli Stephens,,-5,,Timothymouth,New Hampshire,787-031-0332,,29141,center,Clothing,Bass Inc,five,12345,2023-11-11,2024-07-16,13d223e1-9d7e-4ebe-92e4-9e386467fc3b,6808031869924,Cancelled,,free,Good,,10.0,100
Michelle Clayton,Male,2,-10,Hannahville,Minnesota,,,ABCDE,him,Other,Vazquez and Sons,,12345,2023-09-20,2024-03-22,06167b47-61b4-48f7-a459-98d9262286d6,1683484513847,,Credit Card,free,,0,10.0,
Kaitlyn Maynard,Male,-5,100000,Ryantown,Wisconsin,123-abc-7890,stricklanddanielle@robinson.com,45187,store,Food,Montgomery Group,,12345,2022-07-25,2024-10-18,0a8033cd-a5d4-442d-bc79-f7e757e37354,7211472328513,Cancelled,PayPal,10.0,Good,1,0.0,two hundred
Timothy Porter,M,three,-10,East Elizabethchester,Ohio,,,41176,least,,Miller-White,5,,2022-10-20,2022-09-21,12dc8172-7a25-4898-9e9c-b830e2ef8195,4552558352699,Delivered,Bank Transfer,10.0,Good,no,0.0,
Crystal Frazier,,10,-10,West Amandafort,Utah,123-abc-7890,,ABCDE,late,Electronics,Woodard-Robertson,10,SAVE10,2022-04-20,2023-07-11,c2560597-7e65-4583-af1c-e38f364571ca,8314022642325,Delivered,,,,,10.0,two hundred
Pamela Wright,Male,10,0,Bullockland,Maryland,,,,paper,Food,"Hobbs, Rush and Montgomery",five,12345,2022-11-12,2023-06-10,8318c363-5cd3-41e2-92c8-1ccb2e370d61,3718256092140,Delivered,,,Average,,10.0,
Wendy Underwood,M,5,100000,Tinamouth,Georgia,540-763-3900x85059,,,senior,Clothing,Mccoy Inc,5,12345,2023-10-23,2023-02-03,f86d20c2-a97a-44aa-b06f-ea91afbbe15c,7219972721209,,,free,Average,0,0.0,200
Ana Chavez,,5,19.99,Davischester,Utah,123-abc-7890,anthony55@barrera.com,ABCDE,seat,Electronics,Brown-Carlson,,DISCOUNT,2022-05-22,2023-01-31,2c28befd-21f9-4c6a-ae59-bd9cd421cb38,1417591710079,Delivered,,,Bad,no,,two hundred
Karen Harris,M,-5,,North Luis,Tennessee,702.447.8746x14874,,,example,,"Meyer, Romero and Williams",10%,12345,2023-08-11,2022-12-30,23876ab7-58c4-4eff-82aa-05b34425f7cb,7428587564655,,Credit Card,0,,,-1,
Amy Rios,M,three,49.95,New Scottport,Delaware,,not-an-email,,it,,Hodge Ltd,10,,2022-04-15,2022-09-11,dd038989-85f0-40a5-8a6c-0018fbd144db,7714046796850,,Credit Card,free,Bad,0,,100
Jeffrey Scott,M,3,19.99,Lake Timothystad,Indiana,,,13387,senior,Other,Patterson Ltd,,,2022-10-22,2024-12-16,1aa56765-d39b-4b44-b2f9-236c38f325b4,8336652215977,,Credit Card,10.0,Average,no,-1,
David Collins,Male,4,49.95,Raymondstad,Montana,123-abc-7890,not-an-email,ABCDE,idea,,Douglas and Sons,,,2023-07-24,2024-05-06,cf8f38e7-98bd-49e3-94f6-ae2e4336d8c2,8910710827991,Pending,Bank Transfer,0,Bad,,10.0,
Matthew Hamilton,F,,20$,Washingtonton,Tennessee,,,ABCDE,every,Electronics,Kidd Inc,five,12345,2023-01-25,2023-11-17,53bd9984-2cef-487d-abc5-c31eca8ac789,1646958270011,Delivered,,10.0,,1,,
William Leon,Female,5,20$,Michaelview,Arizona,5109175600,,34087,step,Clothing,"Brooks, Wells and Mills",,,2023-01-11,2022-02-18,f1548e9d-ec38-40be-babf-ef7080da6bcb,9111887715664,,PayPal,free,Good,no,10.0,two hundred
Thomas Gilbert,F,1000,49.95,Parkertown,California,,,,factor,Electronics,"Clark, Martinez and King",10,12345,2022-08-20,2023-07-18,96dc1adb-5014-4463-89e1-35cde6603e8d,0717870539096,Cancelled,Credit Card,,Good,0,5.0,
Harold Johnson,Female,5,,Sandersshire,Iowa,123-abc-7890,,,side,Other,"Lee, Dawson and Glenn",10,12345,2023-02-15,2022-10-05,11edee98-b97c-4865-8e9e-b569345d72ca,3526646558523,,Bank Transfer,5.99,Bad,,-1,two hundred
Lisa Weber,Women,2,,Deniseville,Virginia,141.115.7640,,,hold,Clothing,Chandler-Edwards,,12345,2022-12-18,2023-10-16,b2199841-9a14-43d1-bbe5-4e6541b22549,9949347451506,Cancelled,PayPal,0,Bad,1,10.0,
Kevin Blankenship,M,2,100000,Johnsonbury,Delaware,,not-an-email,,without,,Barnes-Taylor,,DISCOUNT,2023-05-07,2023-03-17,500df83d-5d85-4a0c-ae39-04312784a42f,0079689394465,Pending,,free,Average,,0.0,two hundred
Jessica Whitaker,Men,1,0,New Donald,Missouri,,not-an-email,,investment,Other,Hoffman-Wong,,,2023-05-23,2024-10-10,db38655f-b137-41e2-93e5-60e14e4a9792,3579351181050,Delivered,,10.0,Bad,1,10.0,
Jeffery Mcfarland,,1,,Vasquezland,Indiana,,,,board,Electronics,"Simmons, Glover and Aguirre",10,,2023-09-07,2024-12-28,0003ef06-55c2-4adc-9046-ed9d921c0528,1728583669825,Pending,Credit Card,free,,no,,200
Jacob Baldwin,Female,-5,,Jacobmouth,Alabama,,,ABCDE,security,,Johnson Inc,10,DISCOUNT,2022-03-12,2023-09-14,a817d4fb-2693-4c43-b0b3-4e83b7ace96d,8424693165303,,Credit Card,0,,,10.0,
Dale Johnson,Female,3,20$,Lake Briannafurt,Colorado,,,,herself,Electronics,Levy Inc,five,DISCOUNT,2022-02-11,2023-09-11,24d4b2a0-e4e9-4c49-89ce-20c77ea8727f,7221930834937,,Bank Transfer,5.99,Average,1,-1,
Angela Schmidt,Men,1,49.95,Petersonbury,New Jersey,,,,particularly,Other,"Roach, Holt and Proctor",,12345,2023-01-17,2022-01-16,b6996310-94ce-463f-9762-2f12c3304f93,5959712016555,Delivered,PayPal,10.0,,0,,100
Benjamin Bennett,,10,,East Jasonhaven,Oklahoma,+1-048-254-1114,jessica16@roberts.com,96533,gun,,"Jackson, Black and Olson",5,SAVE10,2023-01-09,2024-01-08,edf19847-9dbe-4c44-a484-7193e039eb6d,6433332635277,,,,Average,0,0.0,200
Amanda Sanchez,Male,1000,,Nortonfort,Wyoming,123-abc-7890,,,environmental,Clothing,"Nunez, Bryant and Perez",,SAVE10,2022-10-15,2024-07-22,b5127062-d9ae-4300-82da-d1955e5388ca,4261546895901,Pending,,,Average,,,200
Jimmy Martin,Male,,,Julieland,Arkansas,123-abc-7890,osmith@chandler.com,,note,Electronics,Marsh and Sons,10%,12345,2023-11-11,2023-05-20,f7bfa62d-5749-4d5d-9cfd-d53474fa37ee,9311206466783,Pending,PayPal,free,,0,5.0,
Christopher Wilson,,,0,Bakerbury,North Carolina,123-abc-7890,not-an-email,ABCDE,agree,Other,Perez-Bray,five,,2022-02-02,2024-07-31,5ef57f9e-191a-492d-9f53-0a52aa53251a,9511229319657,Cancelled,Credit Card,0,Average,0,5.0,100
Bryan Sharp,Male,,,Lisaborough,Kentucky,,,ABCDE,guess,Clothing,"Moran, Newman and Rogers",5,SAVE10,2023-05-28,2023-10-11,32a04e41-c6d6-47f5-962e-e41508b75141,5549641582094,Pending,Bank Transfer,,Average,0,5.0,
Miranda Chaney,,1,0,Harrisonport,Utah,,not-an-email,,subject,,Li PLC,five,12345,2023-04-24,2023-08-12,da9dc4a2-11f1-4920-95c3-88f1184d030a,3881941195584,Cancelled,Bank Transfer,5.99,Average,no,-1,
Amy Jackson,Female,5,100000,Lake Alicia,New Mexico,,,,appear,Food,Roberts LLC,,,2023-02-27,2024-06-18,5646d1f5-2746-4310-b3c5-20957cb32a89,8089823768436,Cancelled,,,Good,,,
Brooke Rivera,M,1,,Nunezview,Delaware,784.464.7977x6629,not-an-email,ABCDE,perhaps,,Graham-Hayes,10,,2023-06-07,2023-11-08,0b0de2e8-bd3a-498e-8c98-97cc95087ad5,0044482546182,,PayPal,5.99,Good,,0.0,two hundred
Laura Cook,M,,,Rodrigueztown,Texas,123-abc-7890,not-an-email,,receive,Electronics,"Tran, Smith and Harper",5,SAVE10,2023-09-12,2023-08-03,63480fb2-1170-4e35-8e67-8aa486f52100,9673331854560,Cancelled,Bank Transfer,10.0,Average,yes,0.0,100
Taylor Smith,Female,3,-10,East Carlside,North Dakota,+1-193-195-1722x61292,thomas55@hotmail.com,19114,agent,Electronics,Wolfe PLC,5,,2022-02-05,2023-11-17,b7ee7225-727a-40f1-885a-cc643e7226c8,7545535541060,Pending,,free,Good,no,,two hundred
Jennifer Garcia,,4,,Jeffreyhaven,Oklahoma,001-641-063-0359x93780,,,popular,Other,"Scott, Schultz and Williams",,,2022-08-02,2022-09-15,70dc448a-e6c4-414a-b5f5-c5604aab26ca,1327591217082,Delivered,Bank Transfer,0,Good,1,5.0,
Alejandra Stevens MD,,3,20$,West Catherine,Delaware,,,70933,we,Other,Bentley Ltd,10,12345,2023-01-06,2022-05-08,955bc9c7-068b-40b8-a3db-ac85e4daf501,1087238116740,,PayPal,5.99,,,5.0,100
Veronica Doyle,,2,0,East Christopherville,New York,,samuelmccormick@morse.info,ABCDE,structure,Electronics,"Clark, Chavez and Yu",5,SAVE10,2023-11-08,2024-08-18,aaeac4ba-821e-494c-9b31-b46d7fc4dcd3,6933519438665,Pending,Credit Card,free,,no,,
David Martin,Female,three,20$,Cassandrachester,Pennsylvania,,not-an-email,30552,small,,Stokes-Moore,,SAVE10,2023-02-28,2022-10-12,f88cfa4e-d2dd-4d86-aaa0-c8ef0f7b3666,3386337004728,,Credit Card,,,,,200
Beth Frey,Female,2,0,Thomastown,Tennessee,123-abc-7890,vhill@gmail.com,ABCDE,then,Other,Ramos-Brown,10%,,2023-07-03,2022-04-16,a36b1d84-9800-4b4d-b286-2f8100824aa4,5306509154011,,Credit Card,5.99,,,5.0,two hundred
Joseph Holland,,,,Lake Victor,New Hampshire,,,50896,detail,,Ferguson Group,five,SAVE10,2022-02-24,2023-10-16,eca25401-6cda-40d7-b6b3-3d808ea1a27a,0459339973965,Pending,Credit Card,free,Average,,-1,200
Jean Orozco,,three,,Harrisburgh,Rhode Island,123-abc-7890,,49096,short,Other,Parker-Cunningham,10%,,2023-10-02,2024-03-30,9157bd02-722a-44e0-9539-0eb04d2f5a37,0110205406955,Delivered,,,Bad,0,5.0,two hundred
Ashley Costa,Men,2,19.99,Christopherburgh,California,,not-an-email,,again,Other,Hartman-Koch,10%,,2023-06-11,2022-04-30,62b7e6ec-ca7a-49f4-8ac9-68969f8c2a79,7873300365482,Cancelled,,10.0,Good,,5.0,100
Katie Butler,M,1000,,Russellton,North Carolina,123-abc-7890,,,page,Other,"Hurley, Ball and Chandler",5,12345,2023-02-19,2023-09-14,5321a6b0-985e-45e8-9384-b68e2bc10010,2380188961552,Cancelled,,5.99,Good,,,100
Michael Williams,Men,,0,Port Michelle,Nebraska,,,ABCDE,especially,,Lewis Ltd,10%,12345,2023-12-10,2022-10-30,47930cfe-00a4-4c4a-9569-6536620ca7ab,5104065266953,,PayPal,,Bad,no,0.0,100
Thomas Harris,Male,,,Russellmouth,Hawaii,,not-an-email,ABCDE,go,Food,Moody and Sons,,,2022-02-05,2022-03-18,dd0f784b-693a-4eb6-89a1-f570e65990af,9681174202578,,Credit Card,free,Average,no,5.0,two hundred
Jim Smith,,1000,0,West Donaldmouth,Illinois,,,54228,recognize,Electronics,Harvey and Sons,,12345,2022-05-23,2022-08-15,184f1fe3-9676-49d1-8630-c2348b66da9f,5130445481593,Delivered,,,,yes,5.0,
Todd Taylor,,3,20$,Lake James,Massachusetts,,not-an-email,,seat,,"Weber, Rangel and Gibson",five,,2022-08-23,2023-10-19,ac6ddb68-03dc-4f38-8e1a-f64d00d86e05,7434195168260,,,5.99,,yes,-1,
Natalie Snyder,Male,1000,49.95,New Mark,Oregon,001-274-588-5416x2057,,,city,Other,"Cox, Wolfe and Bell",,SAVE10,2023-10-09,2023-09-05,f318de77-b74e-47f1-a279-767a2133c6b1,2407865317836,Pending,Credit Card,,Average,,5.0,
Natasha Ruiz,Male,,0,Stevenhaven,Oklahoma,893-298-7228x26075,not-an-email,,through,Other,Stanley-Gibbs,,,2023-09-30,2024-09-05,163c85fb-8655-4d87-8cbb-d866bb63c8b8,5590384552554,Delivered,Bank Transfer,,Good,,10.0,
Erik Holder,F,1,49.95,Markberg,Louisiana,,gregorycampbell@santos.com,35816,agency,Electronics,"Moses, Fox and Carson",,DISCOUNT,2023-11-08,2023-11-14,6a9b746d-b08f-43c8-9673-f3994b648b7a,4104327960224,Delivered,,10.0,Good,1,,200
Jennifer Hodges,F,three,100000,Lake Danielshire,Washington,,,ABCDE,force,Other,"Thomas, Wells and Cunningham",five,,2022-07-17,2023-10-12,5057f976-24c3-415c-b844-dcfbcd92cb97,4769083810598,Pending,,0,Average,0,5.0,
Janet Morales,Men,10,,Port Stephen,Washington,,not-an-email,ABCDE,half,Food,Jackson-Simmons,10%,DISCOUNT,2023-02-12,2024-09-03,d987eb48-0e9d-417a-920d-7833ed9f7942,1023208312002,Cancelled,PayPal,,Bad,,,
Yvette White,M,,,Noblefort,Kentucky,,,,yard,,Flores-Kim,,DISCOUNT,2022-10-14,2024-03-24,12fe366a-baaa-4e80-b8e8-8355a8e1c680,0000676106327,,,0,,,0.0,
Linda Mitchell,Male,three,-10,West Jonathan,Missouri,123-abc-7890,,,herself,Food,Snow-Owens,10,,2022-09-14,2022-10-24,607ccfd1-d280-4e5a-8204-98de53c532ab,1586640563031,Cancelled,,,,no,,200
Joshua Charles,M,4,-10,West Danielle,Arkansas,+1-239-613-7263x9708,,80101,film,,Jones and Sons,,SAVE10,2022-08-10,2023-05-13,363a5fc9-aeb1-4b86-8ec8-19e076a9203b,6544323849471,Cancelled,Bank Transfer,10.0,Bad,1,0.0,two hundred
Diana Salinas,,2,19.99,Jamesborough,Ohio,953-512-4866x84684,,,school,,"Reilly, Hall and Martin",,,2023-06-17,2024-08-29,e925cade-67a9-4ecd-95c1-2f3c36b24994,1094974846848,Delivered,PayPal,0,,yes,0.0,
Jason Maxwell,,5,-10,South Amanda,Alabama,123-abc-7890,,,physical,,Rodriguez PLC,five,,2023-02-28,2023-08-29,1aaa547b-bd59-447d-9ac0-813fb64fc808,0461759730042,,PayPal,5.99,Average,,0.0,100
Selena Roman,F,-5,20$,North Angelahaven,California,653-158-6858x8959,fmorales@hotmail.com,,start,,Fernandez-Davis,10%,12345,2023-01-27,2022-08-21,cac8e62f-426b-4445-b744-770b1def3f09,8403347876376,Delivered,PayPal,0,Average,1,0.0,
Stacy Knight,,4,,Monicaland,Washington,,,,member,,Kelly-Fernandez,,DISCOUNT,2023-07-27,2024-08-25,96296a17-4abc-48c5-b2f3-876b8a3aaa4d,2104988390455,Cancelled,Bank Transfer,0,Good,0,-1,two hundred
